TIMESTAMP,MAKE,MODEL,CAR_YEAR,ENGINE_POWER,AUTOMATIC,VEHICLE_ID,BAROMETRIC_PRESSURE(KPA),ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,LONG TERM FUEL TRIM BANK 2,FUEL_TYPE,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR
1503254361121,volkswagen,voyage,2013,1.6,n,car14,,77,,,,768,27,,,Biodiesel_Ethanol,52,,0,,-2%,,4%,MIL is OFF0 codes,,0.541,,26,17,6,8,2017
1503254373139,volkswagen,voyage,2013,1.6,n,car14,,78,,,,775,29,,,Biodiesel_Ethanol,53,,0,,3%,,4%,MIL is OFF0 codes,,0.529,,26,17,6,8,2017
1503254828959,volkswagen,voyage,2013,1.6,n,car14,,81,,0.21600000000000003,,1461,40,,,Biodiesel_Ethanol,53,,23,,-3%,,18%,MIL is OFF0 codes,,0.561,,26,17,6,8,2017
1503254840990,volkswagen,voyage,2013,1.6,n,car14,,80,,0.08199999999999999,,825,46,,,Biodiesel_Ethanol,53,,8,,2%,,6%,MIL is OFF0 codes,,0.612,,26,17,6,8,2017
1503254853020,volkswagen,voyage,2013,1.6,n,car14,,79,,0.075,,823,42,,,Biodiesel_Ethanol,54,,8,,0%,,8%,MIL is OFF0 codes,,0.5529999999999999,,26,17,6,8,2017
1503254865045,volkswagen,voyage,2013,1.6,n,car14,,78,,0.325,,1267,34,,,Biodiesel_Ethanol,54,,33,,-3%,,16%,MIL is OFF0 codes,,0.565,,26,17,6,8,2017
1503254877078,volkswagen,voyage,2013,1.6,n,car14,,78,,0.075,,820,90,,,Biodiesel_Ethanol,54,,25,,-1%,,6%,MIL is OFF0 codes,,0.529,,26,17,6,8,2017
1503254889098,volkswagen,voyage,2013,1.6,n,car14,,78,,0.067,,823,45,,,Biodiesel_Ethanol,54,,0,,-7%,,6%,MIL is OFF0 codes,,0.5760000000000001,,26,17,6,8,2017
1503254901118,volkswagen,voyage,2013,1.6,n,car14,,78,,0.075,,819,41,,,Biodiesel_Ethanol,54,,0,,-1%,,6%,MIL is OFF0 codes,,0.573,,26,17,6,8,2017
1503254913158,volkswagen,voyage,2013,1.6,n,car14,,78,,0.075,,815,41,,,Biodiesel_Ethanol,54,,0,,-2%,,6%,MIL is OFF0 codes,,0.565,,26,17,6,8,2017
1503254925179,volkswagen,voyage,2013,1.6,n,car14,,78,,0.071,,823,40,,,Biodiesel_Ethanol,54,,0,,-2%,,6%,MIL is OFF0 codes,,0.5760000000000001,,26,17,6,8,2017
1503254937194,volkswagen,voyage,2013,1.6,n,car14,,78,,0.259,,1524,73,,,Biodiesel_Ethanol,54,,21,,10%,,23%,MIL is OFF0 codes,,0.588,,26,17,6,8,2017
1503254949210,volkswagen,voyage,2013,1.6,n,car14,,78,,0.078,,1436,43,,,Biodiesel_Ethanol,54,,17,,6%,,6%,MIL is OFF0 codes,,0.69,,26,17,6,8,2017
1503254961250,volkswagen,voyage,2013,1.6,n,car14,,78,,0.075,,806,40,,,Biodiesel_Ethanol,54,,0,,-2%,,6%,MIL is OFF0 codes,,0.514,,26,17,6,8,2017
1503254973259,volkswagen,voyage,2013,1.6,n,car14,,78,,0.259,,1640,94,,,Biodiesel_Ethanol,54,,46,,1%,,6%,MIL is OFF0 codes,,0.49,,26,17,6,8,2017
1503254985296,volkswagen,voyage,2013,1.6,n,car14,,78,,0.09,,1466,57,,,Biodiesel_Ethanol,54,,47,,7%,,13%,MIL is OFF0 codes,,0.596,,26,17,6,8,2017
1503254997318,volkswagen,voyage,2013,1.6,n,car14,,78,,0.29,,1387,25,,,Biodiesel_Ethanol,53,,41,,13%,,9%,MIL is OFF0 codes,,0.596,,26,17,6,8,2017
1503255009357,volkswagen,voyage,2013,1.6,n,car14,,78,,0.306,,1496,22,,,Biodiesel_Ethanol,51,,56,,1%,,26%,MIL is OFF0 codes,,0.529,,13,20,6,8,2017
1503255021378,volkswagen,voyage,2013,1.6,n,car14,,77,,0.063,,1274,38,,,Biodiesel_Ethanol,52,,11,,0%,,5%,MIL is OFF0 codes,,0.435,,13,20,6,8,2017
1503255033409,volkswagen,voyage,2013,1.6,n,car14,,77,,0.067,,833,38,,,Biodiesel_Ethanol,53,,0,,-4%,,6%,MIL is OFF0 codes,,0.573,,13,20,6,8,2017
1503255045433,volkswagen,voyage,2013,1.6,n,car14,,77,,0.196,,1384,42,,,Biodiesel_Ethanol,52,,38,,-3%,,15%,MIL is OFF0 codes,,0.565,,13,20,6,8,2017
1503255057460,volkswagen,voyage,2013,1.6,n,car14,,77,,0.38799999999999996,,1902,22,,,Biodiesel_Ethanol,50,,55,,-2%,,39%,MIL is OFF0 codes,,0.565,,13,20,6,8,2017
1503255069497,volkswagen,voyage,2013,1.6,n,car14,,78,,0.067,,864,95,,,Biodiesel_Ethanol,52,,35,,0%,,6%,MIL is OFF0 codes,,0.655,,13,20,6,8,2017
1503255081520,volkswagen,voyage,2013,1.6,n,car14,,78,,0.243,,1727,48,,,Biodiesel_Ethanol,50,,57,,-2%,,17%,MIL is OFF0 codes,,0.565,,13,20,6,8,2017
1503255093547,volkswagen,voyage,2013,1.6,n,car14,,78,,0.059000000000000004,,1341,38,,,Biodiesel_Ethanol,51,,32,,0%,,5%,MIL is OFF0 codes,,0.435,,13,20,6,8,2017
1503255105569,volkswagen,voyage,2013,1.6,n,car14,,78,,0.298,,1489,98,,,Biodiesel_Ethanol,50,,50,,0%,,52%,MIL is OFF0 codes,,0.541,,13,20,6,8,2017
1503255117598,volkswagen,voyage,2013,1.6,n,car14,,78,,0.086,,1835,21,,,Biodiesel_Ethanol,50,,42,,3%,,6%,MIL is OFF0 codes,,0.588,,13,20,6,8,2017
1503255129619,volkswagen,voyage,2013,1.6,n,car14,,78,,0.067,,825,37,,,Biodiesel_Ethanol,50,,0,,-1%,,5%,MIL is OFF0 codes,,0.561,,13,20,6,8,2017
1503255141648,volkswagen,voyage,2013,1.6,n,car14,,79,,0.145,,837,94,,,Biodiesel_Ethanol,51,,27,,0%,,6%,MIL is OFF0 codes,,0.467,,13,20,6,8,2017
1503255153669,volkswagen,voyage,2013,1.6,n,car14,,79,,0.298,,1439,81,,,Biodiesel_Ethanol,50,,48,,1%,,26%,MIL is OFF0 codes,,0.706,,13,20,6,8,2017
1503255165689,volkswagen,voyage,2013,1.6,n,car14,,80,,0.055,,1301,92,,,Biodiesel_Ethanol,51,,33,,-4%,,5%,MIL is OFF0 codes,,0.741,,13,20,6,8,2017
1503255177709,volkswagen,voyage,2013,1.6,n,car14,,80,,0.373,,1838,22,,,Biodiesel_Ethanol,48,,52,,4%,,32%,MIL is OFF0 codes,,0.561,,13,20,6,8,2017
1503255189741,volkswagen,voyage,2013,1.6,n,car14,,79,,0.055,,1425,36,,,Biodiesel_Ethanol,50,,50,,-2%,,7%,MIL is OFF0 codes,,0.506,,13,20,6,8,2017
1503255201770,volkswagen,voyage,2013,1.6,n,car14,,79,,0.184,,1370,21,,,Biodiesel_Ethanol,50,,47,,0%,,11%,MIL is OFF0 codes,,0.667,,13,20,6,8,2017
1503255213789,volkswagen,voyage,2013,1.6,n,car14,,78,,0.059000000000000004,,1088,37,,,Biodiesel_Ethanol,50,,8,,-2%,,5%,MIL is OFF0 codes,,0.584,,13,20,6,8,2017
1503255225800,volkswagen,voyage,2013,1.6,n,car14,,79,,0.314,,1238,76,,,Biodiesel_Ethanol,50,,37,,-1%,,17%,MIL is OFF0 codes,,0.631,,13,20,6,8,2017
1503255237825,volkswagen,voyage,2013,1.6,n,car14,,79,,0.271,,1676,54,,,Biodiesel_Ethanol,49,,45,,4%,,16%,MIL is OFF0 codes,,0.655,,13,20,6,8,2017
1503255249857,volkswagen,voyage,2013,1.6,n,car14,,79,,0.17600000000000002,,1439,45,,,Biodiesel_Ethanol,49,,46,,-2%,,12%,MIL is OFF0 codes,,0.667,,13,20,6,8,2017
1503255261889,volkswagen,voyage,2013,1.6,n,car14,,79,,0.16899999999999998,,1927,43,,,Biodiesel_Ethanol,49,,51,,-2%,,10%,MIL is OFF0 codes,,0.718,,13,20,6,8,2017
1503255273902,volkswagen,voyage,2013,1.6,n,car14,,79,,0.133,,1446,40,,,Biodiesel_Ethanol,50,,38,,3%,,10%,MIL is OFF0 codes,,0.706,,13,20,6,8,2017
1503255285927,volkswagen,voyage,2013,1.6,n,car14,,79,,0.212,,1463,34,,,Biodiesel_Ethanol,49,,50,,2%,,12%,MIL is OFF0 codes,,0.647,,13,20,6,8,2017
1503255297949,volkswagen,voyage,2013,1.6,n,car14,,79,,0.063,,1283,50,,,Biodiesel_Ethanol,50,,41,,0%,,6%,MIL is OFF0 codes,,0.447,,13,20,6,8,2017
1503255309984,volkswagen,voyage,2013,1.6,n,car14,,78,,0.22,,1753,74,,,Biodiesel_Ethanol,48,,56,,-6%,,9%,MIL is OFF0 codes,,0.6779999999999999,,13,20,6,8,2017
1503255322009,volkswagen,voyage,2013,1.6,n,car14,,78,,0.239,,2043,23,,,Biodiesel_Ethanol,48,,46,,5%,,6%,MIL is OFF0 codes,,0.706,,13,20,6,8,2017
1503255334034,volkswagen,voyage,2013,1.6,n,car14,,78,,0.267,,1831,32,,,Biodiesel_Ethanol,48,,55,,6%,,12%,MIL is OFF0 codes,,0.667,,13,20,6,8,2017
1503255346064,volkswagen,voyage,2013,1.6,n,car14,,78,,0.059000000000000004,,1394,38,,,Biodiesel_Ethanol,49,,31,,6%,,5%,MIL is OFF0 codes,,0.525,,13,20,6,8,2017
1503255358089,volkswagen,voyage,2013,1.6,n,car14,,78,,0.251,,1607,94,,,Biodiesel_Ethanol,48,,51,,0%,,15%,MIL is OFF0 codes,,0.655,,13,20,6,8,2017
1503255370119,volkswagen,voyage,2013,1.6,n,car14,,78,,0.33299999999999996,,2110,51,,,Biodiesel_Ethanol,47,,60,,1%,,13%,MIL is OFF0 codes,,0.643,,13,20,6,8,2017
1503255382139,volkswagen,voyage,2013,1.6,n,car14,,78,,0.22,,2115,80,,,Biodiesel_Ethanol,47,,67,,-2%,,13%,MIL is OFF0 codes,,0.7290000000000001,,13,20,6,8,2017
1503255394159,volkswagen,voyage,2013,1.6,n,car14,,78,,0.51,,2615,62,,,Biodiesel_Ethanol,46,,73,,-4%,,13%,MIL is OFF0 codes,,0.635,,13,20,6,8,2017
1503255406184,volkswagen,voyage,2013,1.6,n,car14,,78,,0.267,,2559,55,,,Biodiesel_Ethanol,46,,72,,-2%,,11%,MIL is OFF0 codes,,0.7290000000000001,,13,20,6,8,2017
1503255418220,volkswagen,voyage,2013,1.6,n,car14,,79,,0.353,,2560,22,,,Biodiesel_Ethanol,45,,73,,2%,,23%,MIL is OFF0 codes,,0.741,,13,20,6,8,2017
1503255430247,volkswagen,voyage,2013,1.6,n,car14,,79,,0.318,,2688,30,,,Biodiesel_Ethanol,46,,65,,4%,,10%,MIL is OFF0 codes,,0.725,,13,20,6,8,2017
1503255442269,volkswagen,voyage,2013,1.6,n,car14,,79,,0.17600000000000002,,2207,18,,,Biodiesel_Ethanol,47,,63,,-4%,,6%,MIL is OFF0 codes,,0.773,,13,20,6,8,2017
1503255454288,volkswagen,voyage,2013,1.6,n,car14,,79,,0.098,,1968,56,,,Biodiesel_Ethanol,47,,55,,-2%,,6%,MIL is OFF0 codes,,0.47100000000000003,,13,20,6,8,2017
1503255466313,volkswagen,voyage,2013,1.6,n,car14,,79,,0.17600000000000002,,1933,52,,,Biodiesel_Ethanol,47,,50,,-2%,,13%,MIL is OFF0 codes,,0.706,,13,20,6,8,2017
1503255478330,volkswagen,voyage,2013,1.6,n,car14,,79,,0.235,,1818,57,,,Biodiesel_Ethanol,46,,47,,4%,,14%,MIL is OFF0 codes,,0.6940000000000001,,13,20,6,8,2017
1503255490354,volkswagen,voyage,2013,1.6,n,car14,,80,,0.22399999999999998,,1613,19,,,Biodiesel_Ethanol,46,,47,,7%,,18%,MIL is OFF0 codes,,0.6709999999999999,,13,20,6,8,2017
1503255502389,volkswagen,voyage,2013,1.6,n,car14,,79,,0.08199999999999999,,1738,38,,,Biodiesel_Ethanol,47,,26,,0%,,6%,MIL is OFF0 codes,,0.7609999999999999,,13,20,6,8,2017
1503255514420,volkswagen,voyage,2013,1.6,n,car14,,80,,0.29,,1432,33,,,Biodiesel_Ethanol,46,,27,,0%,,12%,MIL is OFF0 codes,,0.529,,13,20,6,8,2017
1503255526440,volkswagen,voyage,2013,1.6,n,car14,,80,,0.22,,1360,37,,,Biodiesel_Ethanol,47,,21,,-3%,,14%,MIL is OFF0 codes,,0.588,,13,20,6,8,2017
1503255538460,volkswagen,voyage,2013,1.6,n,car14,,80,,0.075,,866,36,,,Biodiesel_Ethanol,47,,15,,1%,,5%,MIL is OFF0 codes,,0.502,,13,20,6,8,2017
1503255550489,volkswagen,voyage,2013,1.6,n,car14,,80,,0.345,,1617,44,,,Biodiesel_Ethanol,47,,33,,-1%,,8%,MIL is OFF0 codes,,0.565,,13,20,6,8,2017
1503255562508,volkswagen,voyage,2013,1.6,n,car14,,80,,0.067,,1611,39,,,Biodiesel_Ethanol,47,,27,,0%,,6%,MIL is OFF0 codes,,0.447,,13,20,6,8,2017
1503255574534,volkswagen,voyage,2013,1.6,n,car14,,81,,0.255,,1526,26,,,Biodiesel_Ethanol,47,,37,,-2%,,6%,MIL is OFF0 codes,,0.573,,13,20,6,8,2017
1503255586559,volkswagen,voyage,2013,1.6,n,car14,,81,,0.17300000000000001,,1415,34,,,Biodiesel_Ethanol,47,,43,,-5%,,5%,MIL is OFF0 codes,,0.655,,13,20,6,8,2017
1503255598569,volkswagen,voyage,2013,1.6,n,car14,,80,,0.063,,1495,55,,,Biodiesel_Ethanol,48,,38,,0%,,5%,MIL is OFF0 codes,,0.447,,13,20,6,8,2017
1503255610599,volkswagen,voyage,2013,1.6,n,car14,,79,,0.21600000000000003,,1608,59,,,Biodiesel_Ethanol,47,,47,,5%,,12%,MIL is OFF0 codes,,0.667,,13,20,6,8,2017
1503255622623,volkswagen,voyage,2013,1.6,n,car14,,79,,0.075,,1578,50,,,Biodiesel_Ethanol,47,,42,,2%,,8%,MIL is OFF0 codes,,0.588,,13,20,6,8,2017
1503255634654,volkswagen,voyage,2013,1.6,n,car14,,79,,0.055,,1645,24,,,Biodiesel_Ethanol,47,,42,,0%,,5%,MIL is OFF0 codes,,0.5489999999999999,,13,20,6,8,2017
1503255646696,volkswagen,voyage,2013,1.6,n,car14,,78,,0.153,,1596,24,,,Biodiesel_Ethanol,47,,45,,6%,,11%,MIL is OFF0 codes,,0.69,,13,20,6,8,2017
1503255658712,volkswagen,voyage,2013,1.6,n,car14,,78,,0.055,,1566,32,,,Biodiesel_Ethanol,48,,32,,0%,,5%,MIL is OFF0 codes,,0.6940000000000001,,13,20,6,8,2017
1503255670735,volkswagen,voyage,2013,1.6,n,car14,,78,,0.063,,817,42,,,Biodiesel_Ethanol,48,,33,,-2%,,5%,MIL is OFF0 codes,,0.573,,13,20,6,8,2017
1503255682770,volkswagen,voyage,2013,1.6,n,car14,,78,,0.251,,1532,30,,,Biodiesel_Ethanol,47,,38,,1%,,11%,MIL is OFF0 codes,,0.69,,13,20,6,8,2017
1503255694800,volkswagen,voyage,2013,1.6,n,car14,,78,,0.075,,1300,46,,,Biodiesel_Ethanol,47,,37,,-7%,,8%,MIL is OFF0 codes,,0.659,,13,20,6,8,2017
1503255706830,volkswagen,voyage,2013,1.6,n,car14,,78,,0.306,,1742,22,,,Biodiesel_Ethanol,46,,50,,0%,,15%,MIL is OFF0 codes,,0.588,,13,20,6,8,2017
1503255718859,volkswagen,voyage,2013,1.6,n,car14,,78,,0.38,,1779,58,,,Biodiesel_Ethanol,46,,47,,1%,,27%,MIL is OFF0 codes,,0.635,,13,20,6,8,2017
1503255730879,volkswagen,voyage,2013,1.6,n,car14,,78,,0.102,,1346,94,,,Biodiesel_Ethanol,47,,43,,2%,,11%,MIL is OFF0 codes,,0.6709999999999999,,13,20,6,8,2017
1503255742898,volkswagen,voyage,2013,1.6,n,car14,,78,,0.22,,1653,20,,,Biodiesel_Ethanol,46,,40,,3%,,11%,MIL is OFF0 codes,,0.655,,13,20,6,8,2017
1503255754928,volkswagen,voyage,2013,1.6,n,car14,,79,,0.067,,844,71,,,Biodiesel_Ethanol,47,,12,,2%,,7%,MIL is OFF0 codes,,0.596,,13,20,6,8,2017
1503255766958,volkswagen,voyage,2013,1.6,n,car14,,79,,0.063,,841,42,,,Biodiesel_Ethanol,47,,17,,-5%,,5%,MIL is OFF0 codes,,0.561,,13,20,6,8,2017
1503255778982,volkswagen,voyage,2013,1.6,n,car14,,79,,0.067,,822,36,,,Biodiesel_Ethanol,47,,12,,0%,,18%,MIL is OFF0 codes,,0.5760000000000001,,13,20,6,8,2017
1503255791017,volkswagen,voyage,2013,1.6,n,car14,,79,,0.067,,819,33,,,Biodiesel_Ethanol,47,,17,,-4%,,5%,MIL is OFF0 codes,,0.525,,13,20,6,8,2017
1503255803050,volkswagen,voyage,2013,1.6,n,car14,,79,,0.063,,827,37,,,Biodiesel_Ethanol,47,,13,,-4%,,5%,MIL is OFF0 codes,,0.5529999999999999,,13,20,6,8,2017
1503255815060,volkswagen,voyage,2013,1.6,n,car14,,,,0.067,,814,,,,Biodiesel_Ethanol,,,,,,,5%,MIL is OFF0 codes,,0.655,,13,20,6,8,2017
1503275190217,volkswagen,voyage,2013,1.6,n,car14,,91,,0.314,,2108,43,,,Biodiesel_Ethanol,57,,43,,7%,,25%,MIL is OFF0 codes,,0.631,,46,1,0,8,2017
1503275202243,volkswagen,voyage,2013,1.6,n,car14,,91,,0.067,,1599,27,,,Biodiesel_Ethanol,56,,51,,0%,,5%,MIL is OFF0 codes,,0.447,,46,1,0,8,2017
